num_threads,l2_assoc,accel_clock_time,num_accels,l2_size,total_time (ns),total_accel_time (ns),total_energy (nJ),fu_energy (nJ),spad_energy (nJ),llc_leakage_energy (nJ),llc_dynamic_energy (nJ),total_area (uM^2),fu_area,mem_area,num_sp_multiplier,num_sp_adder,num_dp_multiplier,num_dp_adder,num_trig_unit,num_multiplier,num_adder,num_bit_wise,num_shifter,num_register
1,8,2,1,524288,807098,385110,17268.52,3073.87,841.98,10305.27,3047.41,1734300,594417,1139890,0,0,0,0,0,20,144,35,18,1632
1,16,8,1,2097152,2596640,1205608,82940.8,8016.16,2096.22,71835.53,992.89,1728230,588348,1139890,0,0,0,0,0,21,144,35,18,1633
1,8,4,1,2097152,1567616,846628,42911.61,2987.76,1815.48,37400.03,708.34,1723940,584053,1139890,0,0,0,0,0,20,144,35,18,1632
1,16,1,1,524288,539496,275509,14974.84,2722.66,802.64,5916.49,5533.05,1772760,632878,1139890,0,0,0,0,0,20,144,35,18,1632
1,8,2,1,2097152,1044774,636178,31927.88,4522.83,1777.72,24926.11,701.21,1734300,594417,1139890,0,0,0,0,0,20,144,35,18,1632
1,32,1,1,2097152,779248,530474,40481.74,4302.83,1853.92,32641.3,1683.7,1772760,632878,1139890,0,0,0,0,0,20,144,35,18,1632
1,16,1,1,2097152,779249,530454,28641.01,4302.81,1853.91,21557.77,926.52,1772760,632878,1139890,0,0,0,0,0,20,144,35,18,1632
1,8,1,1,2097152,779249,530460,25428.03,4302.84,1853.92,18591.24,680.02,1772760,632878,1139890,0,0,0,0,0,20,144,35,18,1632
1,16,4,1,2097152,1567464,847520,51980.97,5682.7,1967.7,43363.58,966.99,1723940,584053,1139890,0,0,0,0,0,20,144,35,18,1632
1,32,4,1,1048576,1318528,598812,59825.21,4246.35,918.67,43393.55,11266.65,1723940,584053,1139890,0,0,0,0,0,20,144,35,18,1632
1,32,2,1,2097152,1044838,636250,52145.84,4523.12,2120.18,43766.38,1736.16,1734300,594417,1139890,0,0,0,0,0,20,144,35,18,1632
1,32,4,1,2097152,1567616,846604,75064.87,5679.08,1967.37,65664.61,1753.81,1723940,584053,1139890,0,0,0,0,0,20,144,35,18,1632
1,4,2,1,2097152,1044838,636244,28715.01,4523.09,1891.88,21606.1,693.93,1734300,594417,1139890,0,0,0,0,0,20,144,35,18,1632
1,16,4,1,1048576,1318528,598816,31801.28,2516.96,811.23,22511.62,5961.46,1723940,584053,1139890,0,0,0,0,0,20,144,35,18,1632
1,4,8,1,2097152,2596640,1205608,64529.14,8016.09,2096.22,53695.66,721.17,1728230,588348,1139890,0,0,0,0,0,21,144,35,18,1633
1,16,2,1,1048576,795204,385774,23438.75,3075.49,842.21,13576.76,5944.29,1734300,594417,1139890,0,0,0,0,0,20,144,35,18,1632
