cycle_time	cache_size	cache_assoc	cache_hit_latency	tlb_hit_latency	tlb_entries	l2cache_size	cycle	avg_power	fu_power	avg_fu_dynamic_power	avg_fu_leakage_power	avg_mem_power	avg_mem_dynamic_power	avg_mem_leakage_power	total_area	fu_area	mem_area	num_sp_multiplier	num_sp_adder	num_dp_multiplier	num_dp_adder	num_trig_unit	num_multiplier	num_adder	num_bit_wise	num_shifter	num_register
1	32768	4	1	1	1	1048576	727911	88.8587	72.2546	68.8563	3.39839	16.604	14.2939	2.31017	723283.0	268094.0	455188.0	0	0	8	8	0	0	0	0	9	45
2	131072	8	1	2	16	1048576	316045	219.789	65.8381	63.7979	2.04024	153.951	145.163	8.78763	2197860.0	204371.0	1993480.0	0	0	8	8	0	0	0	0	9	45
4	65536	4	2	1	2	1048576	415167	37.4493	23.6575	22.0038	1.65371	13.7918	9.5028	4.28904	1069990.0	185155.0	884833.0	0	0	8	8	0	0	0	0	9	63
2	131072	2	2	4	1	262144	513400	91.2119	41.3504	39.3173	2.03314	49.8614	41.5777	8.2837	2151380.0	203797.0	1947580.0	0	0	8	8	0	0	0	0	9	42
1	131072	2	2	1	4	262144	351011	395.482	147.779	144.38	3.39839	247.703	239.42	8.2837	2215670.0	268094.0	1947580.0	0	0	8	8	0	0	0	0	9	45
1	16384	2	1	1	16	1048576	711846	89.3282	72.4434	69.0355	3.40786	16.8848	15.6539	1.23093	503481.0	268860.0	234621.0	0	0	8	8	0	0	0	0	9	49
2	131072	16	1	1	16	262144	308801	251.317	66.8321	64.7918	2.04024	184.485	174.981	9.50465	2208370.0	204371.0	2004000.0	0	0	8	8	0	0	0	0	9	45
1	131072	2	1	4	4	524288	348100	318.746	149.275	145.876	3.39839	169.471	161.187	8.2837	2215670.0	268094.0	1947580.0	0	0	8	8	0	0	0	0	9	45
2	65536	1	2	4	2	262144	523776	55.5445	40.5712	38.5239	2.04734	14.9733	10.8953	4.07797	1056610.0	204946.0	851663.0	0	0	8	8	0	0	0	0	9	48
1	16384	4	4	4	2	524288	822785	72.4303	64.9747	61.5668	3.40786	7.45564	6.16288	1.29277	503303.0	268860.0	234443.0	0	0	8	8	0	0	0	0	9	49
2	32768	4	2	4	1	1048576	653863	41.174	32.8816	30.839	2.0426	8.29239	5.98221	2.31017	659751.0	204563.0	455188.0	0	0	8	8	0	0	0	0	9	46
4	131072	2	2	4	8	1048576	311408	81.988	31.0248	29.4161	1.60875	50.9632	42.6795	8.2837	2129100.0	181519.0	1947580.0	0	0	8	8	0	0	0	0	9	44
2	32768	4	4	2	16	524288	475284	57.4987	44.261	42.2207	2.04024	13.2378	10.9276	2.31017	659560.0	204371.0	455188.0	0	0	8	8	0	0	0	0	9	45
4	65536	4	2	1	8	131072	352216	48.6821	27.5278	25.9167	1.61112	21.1543	16.8652	4.28904	1066540.0	181710.0	884833.0	0	0	8	8	0	0	0	0	9	45
4	131072	4	2	2	1	131072	495772	39.9618	20.0798	18.4592	1.62058	19.882	11.1329	8.7491	2466420.0	182476.0	2283950.0	0	0	8	8	0	0	0	0	9	49
1	16384	1	4	2	16	262144	740610	81.5263	71.4718	68.0639	3.40786	10.0545	8.84675	1.20775	503387.0	268860.0	234527.0	0	0	8	8	0	0	0	0	9	49
4	131072	16	2	2	16	524288	312659	95.2831	30.9335	29.3129	1.62058	64.3496	54.845	9.50465	2186480.0	182476.0	2004000.0	0	0	8	8	0	0	0	0	9	49
1	32768	2	4	4	2	1048576	663316	91.6385	79.829	76.4306	3.39839	11.8095	9.56112	2.24834	723456.0	268094.0	455361.0	0	0	8	8	0	0	0	0	9	45
1	16384	8	4	1	16	262144	734336	89.4325	71.9602	68.5429	3.41732	17.4723	15.8946	1.57769	493784.0	269626.0	224158.0	0	0	8	8	0	0	0	0	9	53
1	65536	4	4	1	2	262144	508354	133.113	102.882	99.4743	3.40786	30.2306	25.9416	4.28904	1153690.0	268860.0	884833.0	0	0	8	8	0	0	0	0	9	49
1	65536	16	2	2	4	131072	446837	243.633	117.074	113.675	3.39839	126.56	120.85	5.7097	1511310.0	268094.0	1243210.0	0	0	8	8	0	0	0	0	9	45
2	32768	16	2	2	4	524288	465637	100.757	45.083	43.0333	2.0497	55.6744	51.8695	3.80483	1067040.0	205137.0	861903.0	0	0	8	8	0	0	0	0	9	49
2	16384	2	2	4	2	1048576	582978	42.3632	36.5851	34.526	2.05917	5.77809	4.54716	1.23093	440524.0	205903.0	234621.0	0	0	8	8	0	0	0	0	9	53
4	65536	8	4	4	2	1048576	448792	33.3033	22.0543	20.4242	1.63005	11.249	6.72576	4.52326	1067890.0	183241.0	884645.0	0	0	8	8	0	0	0	0	9	53
1	16384	8	4	4	4	262144	740029	88.327	71.399	67.9912	3.40786	16.928	15.3503	1.57769	493018.0	268860.0	224158.0	0	0	8	8	0	0	0	0	9	49
4	65536	2	2	1	4	262144	347963	47.7615	27.8782	26.2671	1.61112	19.8833	15.7571	4.12621	1034210.0	181710.0	852502.0	0	0	8	8	0	0	0	0	9	45
2	16384	4	2	2	16	524288	495396	51.4301	42.3062	40.2565	2.0497	9.12396	7.83119	1.29277	439580.0	205137.0	234443.0	0	0	8	8	0	0	0	0	9	49
